site_url,business_name,niche,page_type_id,city,state,zip_code,phone,address,email,license_number,years_experience,service_area,hours_of_operation,emergency_available,status,hero_slider_images,testimonial_names,testimonial_texts,testimonial_ratings,certification_logos,services_offered,neighborhood_coverage
dallasgaragedoor.com,Dallas Garage Door Experts,Garage Door Repair,service_page,Dallas,TX,75201,214-555-0100,"5678 Main St",info@dallasgaragedoor.com,TX-GD-12345,15,"Dallas Metro","Mon-Fri 7AM-7PM",yes,active,https://placehold.co/1200x600/1e40af/white?text=Garage+Door+1|||https://placehold.co/1200x600/22c55e/white?text=Garage+Door+2|||https://placehold.co/1200x600/64748b/white?text=Garage+Door+3,John Smith|||Sarah Johnson|||Mike Wilson,"Fixed my broken spring fast!"|||"Same day service!"|||"Professional work!",5|||5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Angi|||https://placehold.co/300x150/333/white?text=IDEA,Spring Replacement|||Garage Door Installation|||Opener Repair|||Preventive Maintenance|||Emergency Service,Highland Park|||Oak Lawn|||Lakewood|||East Dallas
dallasplumbing.com,Dallas Plumbing Pros,Plumbing Services,service_page,Dallas,TX,75201,214-555-0200,"1234 Elm St",info@dallasplumbing.com,TX-PLB-67890,20,"Dallas Metro","24/7 Emergency",yes,active,https://placehold.co/1200x600/1e40af/white?text=Plumbing+1|||https://placehold.co/1200x600/22c55e/white?text=Plumbing+2|||https://placehold.co/1200x600/64748b/white?text=Plumbing+3,Lisa Chen|||Robert Martinez|||Emily Davis,"Emergency leak fixed fast!"|||"Great plumbers!"|||"Fixed water heater!",5|||5|||4,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Master+Plumber|||https://placehold.co/300x150/333/white?text=EPA,Leak Repair|||Water Heater Installation|||Drain Cleaning|||Pipe Replacement|||Emergency Plumbing,Uptown|||Downtown|||Lakewood|||Preston Hollow
dallashvac.com,Dallas HVAC Masters,HVAC Repair,service_page,Dallas,TX,75201,214-555-0300,"9012 Oak St",info@dallashvac.com,TX-HVAC-11223,12,"Dallas Metro","Mon-Sat 6AM-8PM",yes,active,https://placehold.co/1200x600/1e40af/white?text=HVAC+1|||https://placehold.co/1200x600/22c55e/white?text=HVAC+2|||https://placehold.co/1200x600/64748b/white?text=HVAC+3,David Brown|||Jennifer Lee|||Carlos Rodriguez,"AC fixed same day!"|||"Excellent service!"|||"Fair pricing!",5|||5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=NATE|||https://placehold.co/300x150/333/white?text=Energy+Star,AC Repair|||Heating Repair|||Installation|||Maintenance|||Emergency HVAC,Oak Cliff|||North Dallas|||East Dallas|||West Dallas
dallasconcrete.com,Dallas Concrete Pros,Concrete Services,service_page,Dallas,TX,75201,214-555-0400,"3456 Commerce St",info@dallasconcrete.com,TX-CC-44556,18,"Dallas Metro","Mon-Sat 7AM-6PM",no,active,https://placehold.co/1200x600/1e40af/white?text=Concrete+1|||https://placehold.co/1200x600/22c55e/white?text=Concrete+2,Steve Wilson|||Nancy Brown,"Best concrete work!"|||"Professional team!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Licensed,Driveways|||Patios|||Foundations|||Decorative Concrete,University Park|||Park Cities|||Lakewood
dallaslandscape.com,Dallas Landscape Design,Landscaping,service_page,Dallas,TX,75201,214-555-0500,"7890 Broadway",landscape@dallas.com,TX-LS-77889,10,"Dallas Metro","Mon-Fri 8AM-5PM",no,active,https://placehold.co/1200x600/1e40af/white?text=Landscape+1|||https://placehold.co/1200x600/22c55e/white?text=Landscape+2,Maria Garcia|||Tom Anderson,"Beautiful design!"|||"Transformed yard!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Green+Certified,Landscape Design|||Lawn Maintenance|||Irrigation|||Tree Service,Highland Park|||University Park|||Lakewood
dallasroofing.com,Dallas Roofing Experts,Roofing,service_page,Dallas,TX,75201,214-555-0600,"2345 Main St",info@dallasroofing.com,TX-RF-88990,22,"Dallas Metro","Mon-Fri 7AM-7PM",yes,active,https://placehold.co/1200x600/1e40af/white?text=Roofing+1|||https://placehold.co/1200x600/22c55e/white?text=Roofing+2,Richard Parker|||Susan White,"Quality roof install!"|||"Fast repairs!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=GAF+Certified,Roof Replacement|||Roof Repair|||Storm Damage|||Inspections,North Dallas|||East Dallas|||Oak Cliff
dallaselectrical.com,Dallas Electrical Services,Electrical,service_page,Dallas,TX,75201,214-555-0700,"4567 Elm St",info@dallaselectrical.com,TX-EL-99001,14,"Dallas Metro","24/7 Emergency",yes,active,https://placehold.co/1200x600/1e40af/white?text=Electrical+1|||https://placehold.co/1200x600/22c55e/white?text=Electrical+2,Kevin Brown|||Amanda Lee,"Fast electrical work!"|||"Licensed electricians!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Licensed,Panel Upgrades|||Wiring|||Lighting|||Emergency Electrical,Downtown|||Uptown|||Preston Hollow
dallaspainting.com,Dallas Painting Pros,Painting,service_page,Dallas,TX,75201,214-555-0800,"6789 Oak Ave",info@dallaspainting.com,TX-PT-10112,16,"Dallas Metro","Mon-Sat 8AM-6PM",no,active,https://placehold.co/1200x600/1e40af/white?text=Painting+1|||https://placehold.co/1200x600/22c55e/white?text=Painting+2,Brian Smith|||Carol Davis,"Beautiful paint job!"|||"Clean professional work!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Insured,Interior Painting|||Exterior Painting|||Cabinet Painting|||Commercial Painting,Highland Park|||University Park|||Oak Lawn
dallascarpentry.com,Dallas Carpentry Services,Carpentry,service_page,Dallas,TX,75201,214-555-0900,"8901 Commerce Rd",info@dallascarpentry.com,TX-CP-11223,19,"Dallas Metro","Mon-Fri 7AM-5PM",no,active,https://placehold.co/1200x600/1e40af/white?text=Carpentry+1|||https://placehold.co/1200x600/22c55e/white?text=Carpentry+2,Mark Johnson|||Linda Brown,"Excellent craftsmanship!"|||"Custom work perfect!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Licensed,Custom Cabinets|||Trim Work|||Decks|||Remodeling,Park Cities|||Lakewood|||East Dallas
dallasappliance.com,Dallas Appliance Repair,Appliance Repair,service_page,Dallas,TX,75201,214-555-1000,"1122 Broadway St",info@dallasappliance.com,TX-AP-12334,11,"Dallas Metro","Mon-Sat 8AM-7PM",yes,active,https://placehold.co/1200x600/1e40af/white?text=Appliance+1|||https://placehold.co/1200x600/22c55e/white?text=Appliance+2,George Wilson|||Helen Martinez,"Fixed fridge fast!"|||"Great appliance service!",5|||5,https://placehold.co/300x150/333/white?text=BBB|||https://placehold.co/300x150/333/white?text=Certified,Refrigerator Repair|||Washer Repair|||Dryer Repair|||Dishwasher Repair,North Dallas|||Oak Cliff|||Lakewood
